시군구코드,처분일자,교부번호,업종명,업태명,업소명,소재지도로명,소재지지번,지도점검일자,행정처분상태,처분명,법적근거,위반일자,위반내용,처분내용,처분기간,영업장면적(㎡),운영형태
3040000,20000613,19930039703,즉석판매제조가공업,즉석판매제조가공업,낙원떡집,,서울특별시 광진구 자양동  산 229번지 10호  ,20000522,처분확정,(),,20000522,(),(),0,,
3040000,19980501,19940039424,즉석판매제조가공업,즉석판매제조가공업,경기방아간,,서울특별시 광진구 화양동  산 67번지 2호  ,19980501,처분확정,(),,19980501,(),(),,,
3040000,19970117,19940039349,즉석판매제조가공업,즉석판매제조가공업,신토불이흑염소,,서울특별시 광진구 중곡동  산 79번지 5호  ,19970117,처분확정,(),,19970117,(),(),,,
3040000,19970117,19940039349,즉석판매제조가공업,즉석판매제조가공업,신토불이흑염소,,서울특별시 광진구 중곡동  산 79번지 5호  ,19970117,처분확정,(),,19970117,(),(),,,
3040000,20000613,19940039349,즉석판매제조가공업,즉석판매제조가공업,신토불이흑염소,,서울특별시 광진구 중곡동  산 79번지 5호  ,20000522,처분확정,(),,20000522,(),(),0,,
3040000,19960205,19950039707,즉석판매제조가공업,즉석판매제조가공업,보연식품,,서울특별시 광진구 자양동  산 553번지 502호  ,19960205,처분확정,(),,19960205,(),(),,,
3040000,19960205,19950039707,즉석판매제조가공업,즉석판매제조가공업,보연식품,,서울특별시 광진구 자양동  산 553번지 502호  ,19960205,처분확정,(),,19960205,(),(),,,
3040000,20060427,19950039574,즉석판매제조가공업,즉석판매제조가공업,농협중앙회축산물판매장중곡점,,서울특별시 광진구 중곡동  93번지 2호  ,20060323,처분확정,영업소폐쇄,식품위생법제58조,20060323,영업시설의 전부철거,영업소폐쇄,,,
3040000,20081230,19950039175,즉석판매제조가공업,즉석판매제조가공업,삼양기름집,,서울특별시 광진구 화양동  132번지 69호  ,20081210,처분확정,영업소폐쇄,"법 21,22조",20081210,영업시설 전부 철거,영업소폐쇄,,,
3040000,20040301,19950039540,즉석판매제조가공업,즉석판매제조가공업,21세기건강원,,서울특별시 광진구 자양동  646번지 26호  ,20040210,처분확정,영업정지 15일,"식품위생법 제58조, 제77조",20040210,허위표시등의 금지(식품위생법제11조:허위표시등의 광고금지)- 의약품으로 혼동할 우려가 있는 내용으로 광고함.,영업정지 15일,15,,
3040000,20000613,19950039580,즉석판매제조가공업,즉석판매제조가공업,십전보건원,,서울특별시 광진구 군자동  산 49번지 30호  ,20000512,처분확정,(),,20000512,(),(),0,,
3040000,19991124,19960039071,즉석판매제조가공업,즉석판매제조가공업,민속떡집,,서울특별시 광진구 자양동  산 553번지 155호  ,19991026,처분확정,(),,19991026,()시설전부멸실,(),0,,
3040000,19981022,19960039605,즉석판매제조가공업,즉석판매제조가공업,장녕식품,,서울특별시 광진구 자양동  산 553번지 329호  ,19981022,처분확정,(),,19981022,(),(),,,
3040000,20040623,19960039874,즉석판매제조가공업,즉석판매제조가공업,해운떡집,,서울특별시 광진구 군자동  361번지 6호  화양시장내 1층다3호~9호,20040602,처분확정,영업소폐쇄,식품위생법 제58조,20040602,영업시설 전부 철거,영업소폐쇄,,,
3040000,20040623,19960039874,즉석판매제조가공업,즉석판매제조가공업,해운떡집,,서울특별시 광진구 군자동  361번지 6호  화양시장내 1층다3호~9호,20040602,처분확정,영업소 폐쇄,식품위생법 제58조,20040602,영업장 시설물 전부 철거,영업소 폐쇄,0,,
3040000,19960612,19960039205,즉석판매제조가공업,즉석판매제조가공업,우리식품,,서울특별시 광진구 화양동  산 10번지 1호  하나로마트,19960612,처분확정,(),,19960612,(),(),,,
3040000,19960612,19960039205,즉석판매제조가공업,즉석판매제조가공업,우리식품,,서울특별시 광진구 화양동  산 10번지 1호  하나로마트,19960612,처분확정,(),,19960612,(),(),,,
3040000,20060427,19960039640,즉석판매제조가공업,즉석판매제조가공업,양촌리반찬집,,서울특별시 광진구 광장동  484번지 0호 상가 현대3단지-지하,20060320,처분확정,영업소폐쇄,식품위생법제58조,20060320,영업시설의전부철거,영업소폐쇄,,,
3040000,19991124,19960039973,즉석판매제조가공업,즉석판매제조가공업,중곡민약건강원,,서울특별시 광진구 중곡동  산 124번지 59호  ,19991028,처분확정,(),,19991028,()시설전부멸실,(),0,,
3040000,19980824,19970039277,즉석판매제조가공업,즉석판매제조가공업,대우축산,,서울특별시 광진구 구의동  산 631번지 1호  ,19980824,처분확정,(),,19980824,(),(),,,
3040000,19981022,19970039258,즉석판매제조가공업,즉석판매제조가공업,프라임토종암소촌,,서울특별시 광진구 구의동  산 631번지 1호  ,19981022,처분확정,(),,19981022,(),(),,,
3040000,20000613,19970039142,즉석판매제조가공업,즉석판매제조가공업,용마종합건강원,,서울특별시 광진구 중곡동  산 134번지 13호  ,20000522,처분확정,(),,20000522,(),(),0,,
3040000,19971217,20000039292,즉석판매제조가공업,즉석판매제조가공업,지원식품,,서울특별시 광진구 군자동  산 346번지 37호  ,19971217,처분확정,(),,19971217,(),(),,,
3040000,20111116,19970039508,즉석판매제조가공업,즉석판매제조가공업,엄마정성,"서울특별시 광진구 군자로 92, (군자동)",서울특별시 광진구 군자동  364번지 11호  ,20111006,처분확정,영업소폐쇄,식품위생법 제75조,20111006,영업시설물 전부 멸실,영업소폐쇄,,,
3040000,20000303,19980039165,즉석판매제조가공업,즉석판매제조가공업,두리브르고려당,,서울특별시 광진구 구의동  산 546번지 4호  롯데마그넷매장내지하2층,20000106,처분확정,(),,20000106,(),(),30,,
3040000,20081230,19980039060,즉석판매제조가공업,즉석판매제조가공업,대아방아간,,서울특별시 광진구 광장동  566번지 0호  청구상가 지하8호,20081210,처분확정,영업소폐쇄,법 제21조 및 제22조,20081210,폐업등 신고없이 영업시설 전부철거,영업소폐쇄,,,
3040000,20081230,19980039682,즉석판매제조가공업,즉석판매제조가공업,서울떡방아간,,서울특별시 광진구 구의동  66번지 28호  구의시장내 1층 6호7호,20081210,처분확정,영업소폐쇄,"법 제21,22조",20081210,영업시설 전부 철거,영업소폐쇄,,,
3040000,19980901,19980039162,즉석판매제조가공업,즉석판매제조가공업,롯데마그넷강변점,,서울특별시 광진구 구의동  산 546번지 4호  롯데마그넷매장내지하2층,19980901,처분확정,(),,19980901,(),(),30,,
3040000,20060427,19980039599,즉석판매제조가공업,즉석판매제조가공업,자매매점,,서울특별시 광진구 능동  18번지 0호  어린이대공원내,20060323,처분확정,영업소폐쇄,식품위생법제58조,20060323,영업시설의전부철거,영업소폐쇄,,,
3040000,19990806,19980039842,즉석판매제조가공업,즉석판매제조가공업,가원,,서울특별시 광진구 구의동  산 546번지 4호  롯데마그넷매장지하2층,19990729,처분확정,()영업정지15일,,19990729,()기준과규격부적합(황색포도상구,()영업정지15일,15,,
3040000,19991124,19980039103,즉석판매제조가공업,즉석판매제조가공업,황금장수원,,서울특별시 광진구 자양동  산 48번지 14호  ,19991027,처분확정,(),,19991027,()시설전부멸실,(),0,,
3040000,19980831,19980039140,즉석판매제조가공업,즉석판매제조가공업,대성농장,,서울특별시 광진구 구의동  산 33번지 59호  ,19980831,처분확정,(),,19980831,(),(),,,
3040000,20060222,19980039140,즉석판매제조가공업,즉석판매제조가공업,대성농장,,서울특별시 광진구 구의동  33번지 59호  ,20060131,처분확정,영업소폐쇄,식품위생법제21조,20060131,영업장 시설물 전부 철거,영업소폐쇄,,,
3040000,20060222,19980039140,즉석판매제조가공업,즉석판매제조가공업,대성농장,,서울특별시 광진구 구의동  33번지 59호  ,20060222,처분확정,영업소폐쇄,식품위생법 제58조,20060131,영업장시설물 전부철거,영업소폐쇄,0,,
3040000,20111205,19980039214,즉석판매제조가공업,즉석판매제조가공업,광진건강원,"서울특별시 광진구 동일로10길 17, (자양동)",서울특별시 광진구 자양동  249번지 25호  ,20111004,처분확정,영업소폐쇄,식품위생법 제75조,20111004,영업시설물 멸실,영업소폐쇄,,,
3040000,20060427,19980039367,즉석판매제조가공업,즉석판매제조가공업,민물나라가물치,,서울특별시 광진구 자양동  661번지 1호  ,20060323,처분확정,영업소폐쇄,식품위생법제58조,20060323,영업시설의 전부 철거,영업소폐쇄,,,
3040000,19990222,19980039843,즉석판매제조가공업,즉석판매제조가공업,성지원,,서울특별시 광진구 중곡동  산 62번지 64호  ,,처분확정,(),,19990222,()질병의치료에효능이있다는광고,(),15,,
3040000,20200912,20000039282,즉석판매제조가공업,즉석판매제조가공업,초원식품,"서울특별시 광진구 자양로15길 74, (자양동)",서울특별시 광진구 자양동  612번지 38호  ,20200727,처분확정,두류가공품 (콩국) 품목제조정지,"법 제71조, 법 제72조,법 제75조 및 법 제76조",20200731,하절기 다중이용시설 합동점검 수거검사에서 대장균 기준 초과,두류가공품 (콩국) 품목제조정지,15,,
3040000,20050602,19990039050,즉석판매제조가공업,즉석판매제조가공업,목포건어물,,서울특별시 광진구 중곡동  124번지 64호  ,20050224,처분확정,영업소폐쇄,식품위생법22조,20050224,시설물 무단철거,영업소폐쇄,,,
3040000,20050518,19990039050,즉석판매제조가공업,즉석판매제조가공업,목포건어물,,서울특별시 광진구 중곡동  124번지 64호  ,20050224,처분확정,영업소 폐쇄,"식품위생법 제58조,제22조",20050224,영업장 시설물 전부철거,영업소 폐쇄,0,,
3040000,20110408,19990039166,즉석판매제조가공업,즉석판매제조가공업,떡고을,,"서울특별시 광진구 자양동  580번지 9호  ,14호",20110308,처분확정,영업정지15일 갈음 과징금300만원 부과,식품위생법 제44조제1항 및 제75조제1항,20110308,"즉석판매제조가공업자의 준수사항 위반
 - 제조가공한 식품을 영업장 외의 곳에서 판매",영업정지15일 갈음 과징금300만원 부과,15,,
3040000,20000619,19990039187,즉석판매제조가공업,즉석판매제조가공업,장생흑염소,,서울특별시 광진구 자양동  산 606번지 40호  ,,처분확정,(),,20000619,(),(),0,,
3040000,19991124,19990039243,즉석판매제조가공업,즉석판매제조가공업,상림,,서울특별시 광진구 자양동  산 236번지 127호  ,19991027,처분확정,(),,19991027,()시설전부멸실,(),0,,
3040000,20111005,19990039393,즉석판매제조가공업,즉석판매제조가공업,한시루,,서울특별시 광진구 중곡동  575번지 11호  ,20110916,처분확정,시정명령,식품위생법 제41조제2항 및 제71조제1항,20110916,신규 위생교육 미수료,시정명령,,,
3040000,20050907,19990039471,즉석판매제조가공업,즉석판매제조가공업,명월관,,서울특별시 광진구 광장동   산 21,20050907,처분확정,시정명령(즉시),"식품위생법 제3조,제55조",20050907,냉면육수 수거검사 결과 규격에 부적합 (성상:강한 짠맛),시정명령(즉시),0,,
3040000,20050907,19990039471,즉석판매제조가공업,즉석판매제조가공업,명월관,,서울특별시 광진구 광장동   산 21,20050907,처분확정,시정명령(즉시),"식품위생법 제3조,제55조",20050907,냉면육수 수거검사 결과 규격에 부적합 (성상:강한 짠맛),시정명령(즉시),0,,
3040000,19991124,19990039476,즉석판매제조가공업,즉석판매제조가공업,청명,,서울특별시 광진구 중곡동  산 140번지 27호  3F,19991028,처분확정,(),,19991028,()시설전부멸실,(),0,,
3040000,19991227,19990039484,즉석판매제조가공업,즉석판매제조가공업,럭키슈퍼정육점,,서울특별시 광진구 자양동  산 641번지 0호  경남상가 1층,,처분확정,()영업정지1월,,19991227,(),()영업정지1월,30,,
3040000,20060427,20000039284,즉석판매제조가공업,즉석판매제조가공업,지영식품,,서울특별시 광진구 중곡동  126번지 50호  1층,20060321,처분확정,영업소폐쇄,식품위생법 제58조,20060427,영업시설의전부철거,영업소폐쇄,,,
3040000,20000425,19990039703,즉석판매제조가공업,즉석판매제조가공업,우성식품,,서울특별시 광진구 자양동  산 603번지 22호  지상1층,,처분확정,()과태료30만원,,20000425,(),()과태료30만원,0,,
3040000,20040623,19990039737,즉석판매제조가공업,즉석판매제조가공업,은혜축협,,서울특별시 광진구 군자동  361번지 6호  화양시장1층 다동1호,20040602,처분확정,영업소 폐쇄,식품위생법 제58조,20040602,영업장 시설물 전부 철거,영업소 폐쇄,0,,
3040000,20000425,19990039750,즉석판매제조가공업,즉석판매제조가공업,경신마트,,서울특별시 광진구 중곡동  산 626번지 7호  능동시장 가동 1층,,처분확정,()과태료30만원,,20000425,(),()과태료30만원,0,,
3040000,20000513,19990039753,즉석판매제조가공업,즉석판매제조가공업,대광유통,,서울특별시 광진구 중곡동  산 626번지 7호  능동시장 가동 1층,,처분확정,(),,20000513,(),(),0,,
3040000,20040407,20000039175,즉석판매제조가공업,즉석판매제조가공업,청정농산,,서울특별시 광진구 구의동  243번지 31호  ,20040312,처분확정,당해제품폐기,식품위생법 제7조(기분과 규격),20040312,"기준과 규격위반-제품명:들기름
               -부적합내용: 산가 부적합 (6.6/규격5.0이하)",당해제품폐기,0,,
3040000,20040407,20000039175,즉석판매제조가공업,즉석판매제조가공업,청정농산,,서울특별시 광진구 구의동  243번지 31호  ,20040312,처분확정,당해제품폐기,식품위생법 제7조(기분과 규격),20040312,"기준과 규격위반-제품명:들기름
               -부적합내용: 산가 부적합 (6.6/규격5.0이하)",당해제품폐기,0,,
3040000,20040407,20000039175,즉석판매제조가공업,즉석판매제조가공업,청정농산,,서울특별시 광진구 구의동  243번지 31호  ,20040312,처분확정,영업정지5일,식품위생법 제7조(기분과 규격),20040312,"기준과 규격위반-제품명:들기름
               -부적합내용: 산가 부적합 (6.6/규격5.0이하)",영업정지5일,5,,
3040000,20040407,20000039175,즉석판매제조가공업,즉석판매제조가공업,청정농산,,서울특별시 광진구 구의동  243번지 31호  ,20040312,처분확정,영업정지5일,식품위생법 제7조(기분과 규격),20040312,"기준과 규격위반-제품명:들기름
               -부적합내용: 산가 부적합 (6.6/규격5.0이하)",영업정지5일,5,,
3040000,20060222,20000039406,즉석판매제조가공업,즉석판매제조가공업,해태농산,,서울특별시 광진구 중곡동  624번지 21호  ,20060123,처분확정,영업소폐쇄,식품위생법제21조,20060123,영업장 시설물 전부 철거,영업소폐쇄,,,
3040000,20060222,20000039406,즉석판매제조가공업,즉석판매제조가공업,해태농산,,서울특별시 광진구 중곡동  624번지 21호  ,20060222,처분확정,영업소폐쇄,식품위생법 제58조,20060123,영업장 시설물 전부철거,영업소폐쇄,0,,
3040000,20090310,20000039064,즉석판매제조가공업,즉석판매제조가공업,맞춤건강굿썸,,서울특별시 광진구 중곡동  221번지 47호  ,20090102,처분확정,시정명령,식품위생법 제27조,20090102,위생교육 미수료,시정명령,,,
3040000,20070330,20010039192,즉석판매제조가공업,즉석판매제조가공업,우리한우마을,,서울특별시 광진구 중곡동  79번지 12호  ,20060724,처분확정,시정명령,식품위생법 제11조,20060724,3개 사항 미만인 때(원산지 표기 위반),시정명령,,,
3040000,20060427,20010039344,즉석판매제조가공업,즉석판매제조가공업,왕 방아간,,서울특별시 광진구 자양동  845번지 3호  ,20060317,처분확정,영업소폐쇄,식품위생법제58조,20060317,영업시설전부철거,영업소폐쇄,,,
3040000,20080218,20010039383,즉석판매제조가공업,즉석판매제조가공업,(주)수동식품,,서울특별시 광진구 자양동  553번지 502호  지하1층,20080129,처분확정,영업소폐쇄,"식품위생법제21조(시설기준),제22조(영업의 허가등),제58조(허가의 취소등)",20080129,폐업등 신고없이 영업시설 전부 철거(2008.1.29 17:05경 자체 단속시),영업소폐쇄,,,
3040000,20130318,20010039461,즉석판매제조가공업,즉석판매제조가공업,토방한우백화점,"서울특별시 광진구 답십리로82길 22, (중곡동)",서울특별시 광진구 중곡동  572번지 1호  ,20130205,처분확정,영업소폐쇄,식품위생법 제36조 및 동법 제37조,20130205,영업시설의 전부를 철거하고 무단 폐업함,영업소폐쇄,,,
3040000,20060222,20010040095,즉석판매제조가공업,즉석판매제조가공업,행운떡집,,서울특별시 광진구 중곡동  240번지 12호  ,20060123,처분확정,영업소폐쇄,식품위생법제21조,20060123,영업장 시설물 전부 철거,영업소폐쇄,,,
3040000,20060222,20010040095,즉석판매제조가공업,즉석판매제조가공업,행운떡집,,서울특별시 광진구 중곡동  240번지 12호  ,20060222,처분확정,영업소폐쇄,식품위생법 제58조,20060123,영업장 시설물 전부철거,영업소폐쇄,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,시정명령,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",시정명령,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,시정명령,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",시정명령,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,시정명령,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",시정명령,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,당해제품 폐기,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",당해제품 폐기,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,당해제품 폐기,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",당해제품 폐기,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,당해제품 폐기,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",당해제품 폐기,0,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,영업정지7일,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",영업정지7일,7,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,영업정지7일,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",영업정지7일,7,,
3040000,20041101,20010039631,즉석판매제조가공업,즉석판매제조가공업,단군의땅,,서울특별시 광진구 구의동  76번지 1호  ,20040922,처분확정,영업정지7일,"식품위생법 제55조,제58조",20040922,"제조연월일 또는 유통기한을 표시하지 아니한 때, 내용량을 표시하지 아니한 때 , 소재지 오표시",영업정지7일,7,,
3040000,20060427,20020039068,즉석판매제조가공업,즉석판매제조가공업,백세건강원,,서울특별시 광진구 군자동  469번지 21호  B동,20060323,처분확정,영업소폐쇄,식품위생법 제58조,20060427,영업시설의전부철거,영업소폐쇄,,,
3040000,20040720,20020039275,즉석판매제조가공업,즉석판매제조가공업,자갈치수산식품(주),,서울특별시 광진구 구의동  546번지 4호  지하2층 롯데마트내,20040617,처분확정,영업소폐쇄,식품위생법제58조,20040617,영업장시설물전부철거후 미신고,영업소폐쇄,0,,
3040000,20121206,20030039482,즉석판매제조가공업,즉석판매제조가공업,원가손맛김,"서울특별시 광진구 긴고랑로9길 16-1, (중곡동,중곡제일시장 1층)",서울특별시 광진구 중곡동  229번지 13호  중곡제일시장 1층,20121022,처분확정,영업소폐쇄,식품위생법제36조 및 동법 제37조,20121022,영업시설의 전부를 철거함,영업소폐쇄,,,
3040000,20080213,20030039535,즉석판매제조가공업,즉석판매제조가공업,금산홍삼,,서울특별시 광진구 자양동  613번지 7호  ,20080104,처분확정,과태료부과,식품위생법제27조,20080104,2007년 기존식품영업자 위생교육 미필,과태료부과,,,
3040000,20080702,20040039124,즉석판매제조가공업,즉석판매제조가공업,사조참치,,서울특별시 광진구 구의동  546번지 4호  롯데마트내,20080521,처분확정,영업소폐쇄,"식품위생법제21조(시설기준),제22조(영업의허가등),제58조(허가의취소등)",20080521,폐업등 신고없이 영업시설 전부철거(2008.5.21 17:05경 자체 단속시),영업소폐쇄,,,
3040000,20150216,20040039188,즉석판매제조가공업,즉석판매제조가공업,제일농산,"서울특별시 광진구 능동로47길 20, (중곡동)",서울특별시 광진구 중곡동  221번지 9호  ,20150302,처분확정,시정명령,"식품위생법제7조제4항위반, 같은법 제71조 적용",20150206,"식품등의 기준 및 규격 중 제조.가공기준 위반한 경우로서, 그 밖의 사항을 위반한 것(참기름에 다른 식용유지류인 향미유를 혼합하여 판매함)",시정명령,,,
3040000,20060222,20040039300,즉석판매제조가공업,즉석판매제조가공업,(주)거원푸드,,서울특별시 광진구 구의동  546번지 4호  롯데마트 내,20060222,처분확정,영업소폐쇄,식품위생법 제58조,20060206,영업시설물 전부철거,영업소폐쇄,0,,
3040000,20060222,20040039740,즉석판매제조가공업,즉석판매제조가공업,거원푸드,,서울특별시 광진구 구의동  546번지 4호  롯데마트내,20060206,처분확정,영업소폐쇄,식품위생법제58조,20060206,영업장시설물전부철거,영업소폐쇄,,,
3040000,20090310,20050039198,즉석판매제조가공업,즉석판매제조가공업,반찬백화점,,서울특별시 광진구 자양동  553번지 150호  ,20090102,처분확정,시정명령,식품위생법 제27조,20090102,위생교육 미수료,시정명령,,,
